time,dir,entry,sl,tp,result,R,exit,exit_time
2023-04-26 16:00:00,long,1986.54,1969.815,2019.9899999999998,win,2.0,2019.9899999999998,2023-05-03 13:00:00
2023-05-21 23:00:00,short,1980.76,1989.0625,1964.155,win,2.0,1964.155,2023-05-23 01:00:00
2023-11-22 15:00:00,long,1994.95,1958.2425,2068.365,win,2.0,2068.365,2023-12-01 18:00:00
2024-02-16 13:00:00,long,2001.43,1988.24,2027.8100000000002,win,2.0,2027.8100000000002,2024-02-20 12:00:00
2024-06-07 08:00:00,long,2347.34,2320.755,2400.51,loss,-1.0,2320.755,2024-06-07 12:00:00
2024-07-09 02:00:00,long,2364.07,2352.4125,2387.3850000000007,loss,-1.0,2352.4125,2024-07-09 15:00:00
2024-11-25 03:00:00,long,2672.22,2627.5425,2761.5749999999994,loss,-1.0,2627.5425,2024-11-25 15:00:00
2024-12-04 05:00:00,short,2649.75,2670.3225,2608.6049999999996,loss,-1.0,2670.3225,2024-12-09 14:00:00
2024-12-16 11:00:00,short,2663.53,2700.2799999999997,2590.030000000001,win,2.0,2590.030000000001,2024-12-18 20:00:00
2025-01-20 00:00:00,long,2694.47,2671.5725,2740.264999999999,win,2.0,2740.264999999999,2025-01-21 15:00:00
2025-06-30 05:00:00,short,3288.94,3348.8625,3169.095,loss,-1.0,3348.8625,2025-07-01 10:00:00
2026-04-02 08:00:00,long,4594.21,4448.304999999999,4886.020000000001,win,2.0,4886.020000000001,2026-04-17 16:00:00
2026-04-29 03:00:00,short,4600.19,4725.442499999999,4349.685,loss,-1.0,4725.442499999999,2026-05-07 09:00:00
2026-06-12 02:00:00,short,4219.99,4394.942500000001,3870.0849999999973,loss,-1.0,4394.942500000001,2026-08-10 22:00:00
2026-06-22 10:00:00,short,4190.44,4299.825,3971.669999999999,win,2.0,3971.669999999999,2026-06-24 16:00:00
2026-07-27 15:00:00,long,4083.72,4041.045,4169.07,loss,-1.0,4041.045,2026-07-28 05:00:00
2026-09-04 17:00:00,long,4427.19,4345.365,4590.839999999999,open,0.0,4402.36,2026-09-08 10:00:00
