time,dir,entry,sl,tp,result,R,exit,exit_time
2025-11-20 13:30:00,short,4080.49,4118.465,4004.539999999999,loss,-1.0,4118.465,2025-11-24 18:45:00
2025-11-25 07:45:00,long,4132.6,4076.6450000000004,4244.51,win,2.0,4244.51,2025-12-01 01:45:00
2025-11-28 11:45:00,long,4171.92,4151.7474999999995,4212.265000000001,win,2.0,4212.265000000001,2025-11-28 17:30:00
2026-02-05 00:15:00,short,5015.67,5106.2975,4834.415000000001,win,2.0,4834.415000000001,2026-02-05 02:45:00
2026-02-08 23:00:00,long,4980.19,4823.7775,5293.0149999999985,win,2.0,5293.0149999999985,2026-03-01 23:00:00
2026-02-19 01:15:00,long,4964.08,4890.5225,5111.195,win,2.0,5111.195,2026-02-22 23:00:00
2026-03-09 01:00:00,long,5159.32,5043.6,5390.759999999998,loss,-1.0,5043.6,2026-03-09 02:30:00
2026-05-12 14:45:00,short,4706.66,4740.315,4639.35,win,2.0,4639.35,2026-05-12 18:15:00
2026-05-28 16:00:00,short,4426.65,4472.045,4335.859999999999,loss,-1.0,4472.045,2026-05-28 17:15:00
2026-06-05 10:00:00,short,4458.57,4487.9175,4399.875,win,2.0,4399.875,2026-06-05 16:00:00
2026-07-30 11:00:00,long,4053.31,3985.22,4189.49,win,2.0,4189.49,2026-08-05 14:45:00
2026-08-14 08:45:00,short,4333.46,4373.01,4254.36,loss,-1.0,4373.01,2026-08-14 15:00:00
